Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
United States,2795653762,2114408011,2130185149,2216648761,2284604382,2058044952,2554556966,2587496216,2371407395,2223918746,2068544996,2107267446,1892346881,1887569179,1761856124,1715701243,1558064368,1466423430,1634265493,2075208605
Japan,2311401856,2191159223,2266781275,2277336226,2281748935,2218537857,2116863432,2199565119,2100812690,1746086871,1834521654,2007870004,1860500152,1651227133,1487584189,1147027356,1243690798,1358730325,1793730740,1899746097
Germany,1165538895,1116703727,1179389401,1375842047,1341226767,1182342726,1112810518,1325884988,1210760587,980380101,929219422,1136676931,1121306486,1147409393,1153323961,1013845488,1062178489,919069073,1130974796,1137099147
Belgium,996326866,1007276483,1180502178,1249464748,1314114720,1285622263,1349268769,1216546307,1276921764,1003612681,873470219,1568839184,1431048933,1215216275,984196942,756805528,680484397,603007742,889308397,1099054442
Netherlands,872542765,721137785,794742871,821495328,771586282,696753241,686388578,694304599,664106036,542961183,618716598,817136088,839175696,807859262,797817952,600247611,,533912890,602747382,715757341.5
United Kingdom,1376699296,1015228769,876689598,975010607,888697755,782324867,763788903,715548954,735986090,500473039,517580060,496239616,419398268,422038237,374303626,265309287,197385686,109398416,119645215,607986646.8
France,825836599,701117906,774179989,942406191,1174033351,1042476533,873358216,835059430,719044959,501875456,423904332,451155689,288517705,185833819,95295957,68989417,58524030,100240938,129316084,536377189.5
China,244056619,222134590,254190372,305463912,469617938,698131155,506297444,403061671,400509898,328393712,402052779,780693696,781947113,808323822,777437726,736098025,662010283,528340390,819540156,533068489.5
Rest of the world,8447331.359,7326501.324,6848214.617,7034810.034,7121551.871,5989898.966,5665171.106,6430271.325,5642380.227,4465818.886,4727029.621,11925131.66,11437177.22,11178082.28,13341434.52,9926593.569,10341426.7,7361588.053,11397845.6,8242539.944
