Year,Production
2023,7870000
2022,8030000
2021,8340000
2020,8740000
2019,14860000
2018,19500000
2017,25090000
2016,23850000
2015,35220000
2014,42770000
2013,61010000
2012,100370000
2011,114620000
2010,121770000
2009,103040000
2008,116170000
2007,100980000
2006,77630000
2005,63580000
2004,59400000
2003,43390000
2002,23370000
2001,15960000
2000,10820000
1999,5060000
